serial,year_built,reg_date,previous,type,manufacturer,build_place,registration
180,1979,1994.05.24,PH-SPB D-GEKA (SE-GEU(2)),Partenavia P.68B Victor,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-OCM
2816043,1988,2002.07.08,SE-IUI,Piper PA-28-161 Warrior II,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-ODN
17702663,1977,1995.07.05,N20373,Cessna 177B Cardinal,Cessna Aircraft Company,"Wichita, KS, USA",OY-OKC
BB-575,1979,1992.02.04,N307P N580 N6656W,Beech 200 Super King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-PAL
BB-557,1979,1991.02.14,N117PA N200E (N2008) N200E N713GH,Beech 200 Super King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-PAM
F17201486,1976,1993.07.19,SE-GMV,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-PCC
18264562,1976,1989.02.06,N8204M,Cessna 182P Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-PEC
28R-7931251,1979,1990.01.03,N2904G,Piper PA-28RT-201T Turbo Arrow IV,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PEE
38-79A0365,1979,1989.09.18,N2543D,Piper PA-38-112 Tomahawk,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-PEF
28R-8031020,1979,1988.05.20,N8117G,Piper PA-28RT-201T Turbo Arrow IV,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PEI
28R-7918080,1979,1988.09.08,N2250V,Piper PA-28RT-201 Arrow IV,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PEJ
28R-8018024,1980,1990.07.10,SE-IDE,Piper PA-28RT-201 Arrow IV,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PEL
44-8195020,1981,1989.06.06,N333X N8383A,Piper PA-44-180 Seminole,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PEM
17264743,1975,1988.03.29,N61702,Cessna 172M Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-PEN
F406-0045,1989,1997.08.29,5Y-LAN G-FIND PH-ALV (F-WZDT),Reims/Cessna F.406 Caravan II,Cessna Aircraft Company,"Reims, France",OY-PEU
18259566,1969,2000.03.06,D-ELWL N71294,Cessna 182M Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-PIF
177RG0422,1973,1996.01.03,SE-KRP N2022Q,Cessna 177RG Cardinal RG,Cessna Aircraft Company,"Wichita, KS, USA",OY-PIL
4023C,1985,1988.05.18,N56616,Maule M-7-235 Super Rocket,Maule Air Inc,"Moultrie, GA, USA",OY-PJH
28-24733,1968,1987.07.29,OH-PJL (SE-FFA),Piper PA-28-140 Cherokee,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PJL
R1722688,1977,1996.09.11,YN-CEK N736PU,Cessna R172K Hawk XP,Cessna Aircraft Company,"Wichita, KS, USA",OY-PMT
F15001020,1973,1976.01.08,D-EOLY N14494,Reims/Cessna F150L,Cessna Aircraft Company,"Reims, France",OY-POA
550,1976,1977.02.28,Cancelled 1982.10.27,Robin HR 100/250TR President,"Robin, Avion Pierre","Dijon, France",OY-POD
32-7140029,1971,1976.07.08,CS-AGF N8636N,Piper PA-32-300 Cherokee Six D,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-POH
32-7340158,1973,1976.01.30,CS-AON N56102,Piper PA-32-300 Cherokee Six,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-POI
TC-0579,1964,1976.06.25,SE-EEZ,Beech 95-B55 Baron,Beech Aircraft Corporation,"Wichita, KS, USA",OY-POJ
12988,1944,1946.10.25,44-80522,Piper J-3C-65 Cub (L-4J),Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-POL
35505,1957,1976.02.19,(SE-ETU) OH-CNK LN-RTU(2) SE-ETU (SE-ETF) G-AROX N5305A,Cessna 310,Cessna Aircraft Company,"Wichita, KS, USA",OY-PON
28R-7435186,1974,1976.05.05,CS-APD N41460,Piper PA-28R-200 Cherokee Arrow II,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-POO
27-4619,1971,1976.09.22,G-BBNM N14001,Piper PA-23-250 Aztec E,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-POR
12674,1975,1976.01.16,Cancelled 2009.10.13,SOCATA MS.893E Rallye 180GT,SOCATA,"Tarbes, France",OY-POS
28R-7435248,1974,1976.07.28,CS-AQF N43128,Piper PA-28R-200 Cherokee Arrow II,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-POV
18264035/0029,1975,1976.07.23,(D-EOLI) N9975E,Cessna 182P Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-POY
28-7415248,1974,1976.03.12,D-EOEP,Piper PA-28-151 Cherokee Warrior,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-POZ
28-7425394,1974,1976.05.06,N44199,Piper PA-28-140 Cherokee,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PRB
28-7325088,1972,1976.05.06,N15530,Piper PA-28-140F Cherokee Cruiser,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PRC
11924,1971,1976.06.28,SE-FSK,SOCATA MS.893A Rallye Commodore 180,SOCATA,"Tarbes, France",OY-PRF
2779,1976,1976.07.28,Cancelled,SOCATA MS.880B Rallye 100T,SOCATA,"Tarbes, France",OY-PRG
281,1975,1976.07.08,N1281J,Rockwell Commander 112A,Rockwell International Corporation,"Bethany, OK, USA",OY-PRH
2687,1976,1976.08.11,Cancelled,SOCATA MS.892E Rallye 150ST,SOCATA,"Tarbes, France",OY-PRI
12727,1976,1976.08.12,Cancelled,SOCATA MS.893E Rallye 180GT,SOCATA,"Tarbes, France",OY-PRJ
2925,1977,1977.06.30,Cancelled,SOCATA MS.880B Rallye 100T,SOCATA,"Tarbes, France",OY-PRK
2744,1976,1976.11.25,(D-EBWN) F-ODDH,SOCATA MS.880B Rallye 100ST,SOCATA,"Tarbes, France",OY-PRL
,1972,1977.02.10,SE-FLM (N1025J),Rockwell Commander 112,Rockwell International Corporation,"Bethany, OK, USA",OY-PRO
12610,1976,1977.06.30,F-BXMF (F-BXME),SOCATA MS.893E Rallye 180GT,SOCATA,"Tarbes, France",OY-PRP
2885,1977,1977.04.05,Cancelled 1981.10.15,SOCATA MS.880B Rallye 100T,SOCATA,"Tarbes, France",OY-PRR
2948,1977,1977.07.28,Cancelled,SOCATA MS.880B Rallye 100T,SOCATA,"Tarbes, France",OY-PRS
12959,1977,1977.07.28,Cancelled,SOCATA MS.893E Rallye 180GT,SOCATA,"Tarbes, France",OY-PRU
102,1977,1977.09.02,Cancelled 1988.08.17,Partenavia P.68B Victor,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-PRY
12754,1976,1976.12.16,Cancelled,SOCATA MS.893E Rallye 180GT,SOCATA,"Tarbes, France",OY-PRZ
61P-0768-8063382,1980,1996.02.09,EC-DJS N3634M,Smith Aerostar 601P,Piper Aircraft Corporation,"Santa Maria, CA, USA",OY-PYY
550-0621,1989,1993.01.20,N502SU ZS-MLS N12543,Cessna 550 Citation II,Cessna Aircraft Company,"Wichita, KS, USA",OY-RDD
56525,1960,1960.04.27,(N7025E),Cessna 175A Skylark,Cessna Aircraft Company,"Wichita, KS, USA",OY-RPA
47337,1960,1960.04.29,N7737T,Cessna 172A,Cessna Aircraft Company,"Wichita, KS, USA",OY-RPB
28R-35745,1970,1974.08.22,SE-FHX(2),Piper PA-28R-200B Cherokee Arrow,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-RPD
11AC-1603,1947,1974.11.27,D-EJUN OO-GUS OO-USG,Aeronca 11AC Chief,Aeronca Aircraft Corporation,"Middletown, OH, USA",OY-RPE
18-7411,1960,1975.05.07,D-EMUW,Piper PA-18-150 Super Cub,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-RPG
,1975,,G-BCWR,Britten-Norman BN-2A-20 Islander,Britten-Norman Ltd,"Bembridge, UK",OY-RPH
F17201206,1974,1975.02.25,Cancelled,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-RPJ
F17201221,1974,1975.02.25,Cancelled 1988.03.04,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-RPK
39-4,1970,1974.11.13,D-GFHW OE-FCG N8845Y,Piper PA-39-160 Twin Comanche C/R,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-RPM
18263175,1974,1974.12.16,(D-EOQQ) N7392N,Cessna 182P Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-RPN
27-7554144,1975,1978.01.31,N54845,Piper PA-23-250 Aztec E,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-RPO
3400114,1972,1974.12.10,OE-FKI N4576L,Cessna 340,Cessna Aircraft Company,"Wichita, KS, USA",OY-RPV
18-8092,1963,1975.04.22,PH-NKE (N4078Z),Piper PA-18-150 Super Cub,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-RPY
,1975,1975.05.07,(OY-RPH) G-BCWR,Britten-Norman BN-2A-20 Islander,Britten-Norman Ltd,"Bembridge, UK",OY-RPZ
G-019,1977,2000.06.26,D-ASDB (OY-RRW)(D-ASDB) 17+03,VFW 614,VFW-Fokker GmbH,"Bremen, W.Germany",OY-RRW
R18201575,1980,1995.03.10,N5455S,Cessna TR.182 Turbo Skylane-RG,Cessna Aircraft Company,"Wichita, KS, USA",OY-RSC
301,1992,2002.03.08,F-WQNS G-BXXA F-WQGJ F-OHAG  F-WWLY,Aeritalia/SNIAS ATR 72-201,Avions de Transport Regional,"Toulouse, France",OY-RUB
49902,1991,2018.05.04,I-SMES,McDonnell Douglas MD-82,McDonnell Douglas Corporation,"Long Beach, CA, USA",OY-RUT(1)
18261296,1972,1972.08.31,Cancelled 1986.09.12,Cessna 182P Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-RYC
421B0335,1972,1972.11.23,(N6187Q),Cessna 421B Golden Eagle,Cessna Aircraft Company,"Wichita, KS, USA",OY-RYD
F17200927,1972,1973.04.17,Cancelled,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-RYE
F17200933,1973,1973.03.05,Cancelled 1978.08.16,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-RYF
F17200859,1972,1972.07.05,(OY-RYB),Reims/Cessna F172L Skyhawk,Cessna Aircraft Company,"Reims, France",OY-RYG
F17200929,1973,1973.03.02,Cancelled 1980.07.14,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-RYH
18261811,1973,1973.04.26,N79309,Cessna 182P Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-RYI
3400066,1973,1972.04.11,Cancelled 1975.09.29,Cessna 340,Cessna Aircraft Company,"Wichita, KS, USA",OY-RYL
F17201053,1973,1973.10.09,Cancelled,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-RYO
F17200944,1972,1972.11.17,Cancelled,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-RYP
30-1844,1969,1974.09.11,SE-FHA (N2235W),Piper PA-30-160 Twin Comanche C,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-RYS
F17200942,1973,,Cancelled NTU,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-RYV
271,1971,1971.03.26,(F-WJAM),Sud SE-210 Caravelle 12,Sud-Aviation,"Toulouse, France",OY-SAB
269,1971,1971.05.18,(F-WJAK),Sud SE-210 Caravelle 12,Sud-Aviation,"Toulouse, France",OY-SAC
272,1971,1971.06.07,(F-WJAN),Sud SE-210 Caravelle 12,Sud-Aviation,"Toulouse, France",OY-SAD
273,1972,1972.02.24,(F-WJAK),Sud SE-210 Caravelle 12,Sud-Aviation,"Toulouse, France",OY-SAE
275,1973,1972.05.10,(F-WJAL),Sud SE-210 Caravelle 12,Sud-Aviation,"Toulouse, France",OY-SAF
276,1972,1972.06.15,(F-WJAM),Sud SE-210 Caravelle 12,Sud-Aviation,"Toulouse, France",OY-SAG
135,1947,1947.04.10,Cancelled 1969.10.07,S.A.I. KZ VII U-4 Lærke,Skandinavisk Aero Industri A/S,"København, Denmark",OY-SAI
,1961,1971.12.06,N1004U (F-WJAL),Sud SE-210 Caravelle VIR,Sud-Aviation,"Toulouse, France",OY-SAL
,1961,1972.01.04,N1010U (F-WJAN),Sud SE-210 Caravelle VIR,Sud-Aviation,"Toulouse, France",OY-SAM
,1961,1972.01.06,N1013U (F-WJAM),Sud SE-210 Caravelle VIR,Sud-Aviation,"Toulouse, France",OY-SAN
101,1961,1972.01.11,N1016U (F-WJAK),Sud SE-210 Caravelle VIR,Sud-Aviation,"Toulouse, France",OY-SAO
,1961,1972.01.11,N1005U (F-WJAM),Sud SE-210 Caravelle VIR,Sud-Aviation,"Toulouse, France",OY-SAP
103,1962,1972.02.04,N1018U (F-WJAN),Sud SE-210 Caravelle VIR,Sud-Aviation,"Toulouse, France",OY-SAR
20766,1973,1973.12.04,Cancelled 1984.05.10,Boeing 727-2J4,Boeing Company,"Renton, WA, USA",OY-SAT
20764,1973,1973.11.16,(N1779B),Boeing 727-2J4,Boeing Company,"Renton, WA, USA",OY-SAU
402B0112,1971,1971.04.14,Cancelled 1979.10.05,Cessna 402B Utiliner,Cessna Aircraft Company,"Wichita, KS, USA",OY-SAW
22079,1980,1980.03.20,Cancelled 1994.02.08,Boeing 727-2J4,Boeing Company,"Renton, WA, USA",OY-SBE
23052,1983,1987.04.02,N779AL,Boeing 727-270,Boeing Company,"Renton, WA, USA",OY-SBI
45923,1968,1984.04.11,HS-TGX LN-MOU,Douglas DC-8 Srs.63,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-SBK
21,1975,1978.12.15,F-BVPE,Aérospatiale SN 601 Corvette,Aérospatiale (SNIAS),"Saint Nazaire, France",OY-SBS
,1961,1972.10.13,PH-TVZ N1006U (F-WJAK),Sud SE-210 Caravelle VIR,Sud-Aviation,"Toulouse, France",OY-SBV
,1961,1972.03.15,N1008U (F-WJAK),Sud SE-210 Caravelle VIR,Sud-Aviation,"Toulouse, France",OY-SBW
22536,1981,1991.06.21,N364PA,Boeing 727-221,Boeing Company,"Renton, WA, USA",OY-SCB
21945,1979,1995.05.11,N200LR TI-LRQ 9V-SGG,Boeing 727-212,Boeing Company,"Renton, WA, USA",OY-SCC
26419,1991,1998.09.30,G-OBMY SE-DNI,Boeing 737-59D,Boeing Company,"Renton, WA, USA",OY-SEG
,,,,,,,OY-SES (1)
20571,1972,1998.01.29,EI-SKY N505PG N530MD HL-7367 JA8341,Boeing 727-281F,Boeing Company,"Renton, WA, USA",OY-SEV
21688,1978,1997.09.25,N920PG LV-MIM,Boeing 727-287,Boeing Company,"Everett, WA, USA",OY-SEW
20659,1973,1997.03.04,N29730 N24730,Boeing 727-224,Boeing Company,"Renton, WA, USA",OY-SEY
21202,1976,1996.05.24,N723RW,Boeing 727-2M7,Boeing Company,"Renton, WA, USA",OY-SEZ
R18200667,1978,1995.06.20,N9194R,Cessna TR.182 Turbo Skylane-RG,Cessna Aircraft Company,"Wichita, KS, USA",OY-SFK
25155,1991,1991.06.08,Cancelled 1994.07.06,Boeing 757-2J4,Boeing Company,"Renton, WA, USA",OY-SHA
24137,1988,1989.10.20,PH-AHI,Boeing 757-27B,Boeing Company,"Renton, WA, USA",OY-SHI
18052565,1975,2004.01.21,LN-BGJ (N9910N),Cessna 180J Skywagon,Cessna Aircraft Company,"Wichita, KS, USA",OY-SIG
35-1158,1976,1994.06.10,AT-158,SAAB Sk-35XD Draken,SAAB-Scania AB,"Linköping, Sweden",OY-SKA
10477,1972,1990.10.01,S2-ABO PH-FRB PH-EXC PH-EXB,Fokker F.27 Friendship Srs. 600,Fokker B.V.,"Amsterdam, Holland",OY-SLE
679,1980,1992.10.19,9XR-KC C-GCJE,DHC-6 Twin Otter Srs.300,de Havilland Aircraft of Canada Ltd,"Downsview, Ont, Canada",OY-SLI
2843164,1998,1998.09.09,Cancelled,Piper PA-28-181 Archer III,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-SPL
10392,1969,1988.05.01,G-BNIY 9Q-CLL PH-FNP,Fokker F.27 Friendship Srs. 600,Fokker B.V.,"Amsterdam, Holland",OY-SRR
10508,1975,1989.02.27,N61AN OB-R-1042 PH-EXA,Fokker F.27 Friendship Srs. 600,Fokker B.V.,"Amsterdam, Holland",OY-SRZ
186,1966,1966.03.29,(F-WJAL),Sud SE-210-10B3 Super Caravelle,Sud-Aviation,"Toulouse, France",OY-STB
249,1968,1968.04.08,(F-WJAK),Sud SE-210-10B3 Super Caravelle,Sud-Aviation,"Toulouse, France",OY-STE
249,1968,1968.04.08,(F-WJAK),Sud SE-210-10B3 Super Caravelle,Sud-Aviation,"Toulouse, France",OY-STE
259,1969,1969.03.14,(F-WLGB),Sud SE-210-10B3 Super Caravelle,Sud-Aviation,"Toulouse, France",OY-STG
262,1969,1969.03.31,Cancelled 1990.12.06,Sud SE-210-10B3 Super Caravelle,Sud-Aviation,"Toulouse, France",OY-STH
265,1969,1969.05.14,(F-WLGA),Sud SE-210-10B3 Super Caravelle,Sud-Aviation,"Toulouse, France",OY-STI
199,1948,1969.10.21,D-EKID HB-EPA OH-KZG,S.A.I. KZ VII U-8 Lærke,Skandinavisk Aero Industri A/S,"Kastrup, Denmark",OY-STJ
266,1970,1970.05.06,(F-WJAK),Sud SE-210-10B3 Super Caravelle,Sud-Aviation,"Toulouse, France",OY-STK
267,1970,1970.05.13,Cancelled 1974.02.18,Sud SE-210-10B3 Super Caravelle,Sud-Aviation,"Toulouse, France",OY-STL
268,1970,1970.06.16,(F-WJAN),Sud SE-210-10B3 Super Caravelle,Sud-Aviation,"Toulouse, France",OY-STM
44693,1955,1967.06.14,VH-INH,Douglas DC-6B Super Cloudmaster,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-STP
45201,1957,1968.05.31,SU-ANM N576,Douglas DC-6B Super Cloudmaster,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-STS
45320,1958,1968.06.07,SU-ANO 4W-ABF SU-ANO N579,Douglas DC-6B Super Cloudmaster,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-STT
44175,1953,1969.06.02,5U-AAH 13+02 CA+024 OO-CTM,Douglas DC-6B Super Cloudmaster,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-STY
43828,1953,1969.06.02,5U-AAG 13+01 CA+023 OO-SDG EC-ASR OO-SDG,Douglas DC-6B Super Cloudmaster,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-STZ
1340-25,1963,1984.04.18,ZS-JWE A2-BAB N164K (N6303U),Aero Commander 680FL Grand Commander,Aero Commander Div. of Rockwell Standard Corp,"Bethany, OK, USA",OY-SUB
F17202204,1983,1983.12.20,Cancelled 1986.09.26,Reims/Cessna F172P Skyhawk,Cessna Aircraft Company,"Reims, France",OY-SUD
25-0495,1980,1981.03.06,Cancelled 1983.11.09,Mooney M-20K Mooney 231,Mooney Aircraft Corporation,"Kerrville, TX, USA",OY-SUE
MU2B-36A-719S.A,1978,1986.10.21,(N870MA)(N104AL) N890MA,Mitsubishi MU-2N (MU-2B-36A),Mitsubishi Jukogyo Kabushiki Kaisha,"San Angelo, TX, USA",OY-SUF
402C0505,1981,1985.07.09,ZS-KXC (N6843T),Cessna 402C,Cessna Aircraft Company,"Wichita, KS, USA",OY-SUM
246-04-OB,1981,1986.07.29,D-GEMG,Partenavia P.68B Observer,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-SUR
25-0429,1980,1980.10.20,(N3597H),Mooney M-20K Mooney 231,Mooney Aircraft Corporation,"Kerrville, TX, USA",OY-SUS
11488,1978,1985.01.18,D-IMWT (D-ICKH) (D-IAFE) (N81812),Rockwell 690B Turbo Commander,Rockwell International Corporation,"Bethany, OK, USA",OY-SUU
24-3070,1988,1989.01.06,N205XX,Mooney M-20J Mooney 205,Mooney Aircraft Corporation,"Kerrville, TX, USA",OY-SVB
31-722,1971,1991.06.04,LN-RAZ SE-FYV,Piper PA-31-310 Navajo B,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-SVC
4622050,1989,1990.04.05,SE-KIP,Piper PA-46-350P Malibu Mirage,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-SVE
11662,1981,1988.03.28,N5914K,Gulfstream 690C Commander 840,Gulfstream Aerospace Corporation,"Bethany, OK, USA",OY-SVG
17274818,1981,1988.08.04,N53796,Cessna 172P Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-SVM
MU2B-60-0792SA,1980,1988.02.12,N82WT N32WT N283MA,Mitsubishi MU-2 Marquise (MU-2B-60),Mitsubishi Jukogyo Kabushiki Kaisha,"San Angelo, TX, USA",OY-SVN
626,1984,1994.06.29,(D-CONU) G-LAKJ D-CONU (G-31-626),BAe Jetstream 3102,British Aerospace PLC,"Prestwick, UK",OY-SVP
,,,,,,,OY-SVR (1)
781,1987,1995.05.24,C-FASJ (G-31-781),BAe Jetstream 3102,British Aerospace PLC,"Prestwick, UK",OY-SVY
U20601178,1968,1998.05.13,LN-VIY (N29226),Cessna U206C Super Skywagon,Cessna Aircraft Company,"Wichita, KS, USA",OY-TAC
500-0158,1974,1995.06.13,N910N N910Y N910CM N999CM,Cessna 501 Citation I/SP,Cessna Aircraft Company,"Wichita, KS, USA",OY-TAM
208B0310,1992,1992.10.26,N1015E,Cessna 208B Grand Caravan,Cessna Aircraft Company,"Wichita, KS, USA",OY-TCC
CE-1369,1989,1989.08.21,Cancelled 1992.06.12,Beech F33A Bonanza,Beech Aircraft Corporation,"Wichita, KS, USA",OY-TFA
E-3013,1996,1997.04.17,N1113J,Beech A36 Bonanza,Beech Aircraft Corporation,"Wichita, KS, USA",OY-TFD
28-7415339,1974,2000.09.21,SE-GBM,Piper PA-28-151 Cherokee Warrior,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TFK
M-407,1963,1991.05.01,LN-TVU SE-EEY LN-TVH,Beech 23 Musketeer,Beech Aircraft Corporation,"Wichita, KS, USA",OY-TFZ
500-0299,1975,2000.02.25,(OY-EBD) N80364,Cessna 500 Citation,Cessna Aircraft Company,"Wichita, KS, USA",OY-TKI
147,1978,1994.12.08,G-CNIS G-BJOF EI-BKH G-PAUL,Partenavia P.68B Victor,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-TLC
20725,1973,1997.11.12,EI-TNT N902PG N526MD HL-7386 JA8346,Boeing 727-281F,Boeing Company,"Renton, WA, USA",OY-TNT
28-7415474,1974,1974.08.16,Cancelled 1989.02.03,Piper PA-28-151 Cherokee Warrior,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOA
28-7425154,1973,1974.05.29,Cancelled 1980.01.18,Piper PA-28-140 Cherokee Cruiser,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOB
28-7425439,1974,1974.12.17,Cancelled 1980.03.19,Piper PA-28-140 Cherokee Cruiser,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOD
28-7415656,1974,1974.11.01,Cancelled,Piper PA-28-151 Cherokee Warrior,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOE
28-7425324,1974,1974.08.01,(N9597N),Piper PA-28-140 Cherokee Cruiser,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOF
28-7515329,1975,1975.05.20,Cancelled 2012.10.10,Piper PA-28-151 Cherokee Warrior,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOH
28-7525045,1974,1975.05.27,Cancelled,Piper PA-28-140 Cherokee Cruiser,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOI
28-7525049,1974,1975.03.24,Cancelled 2003.08.07,Piper PA-28-140 Cherokee Cruiser,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOJ
28-7515096,1974,,Cancelled NTU,Piper PA-28-151 Cherokee Warrior,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOL
39-8,1970,1974.08.16,N8853Y,Piper PA-39-160 Twin Comanche C/R,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOO
28R-7535262,1975,1975.07.07,Cancelled,Piper PA-28R-200 Arrow II,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOU
54,1969,1974.11.05,D-CIFG (F-WNDA),Nord 262A-30,"Nord-Aviation, SNCA","Bourges, France",OY-TOV
32-7540130,1975,1975.06.05,Cancelled 1985.07.26,Piper PA-32-300 Cherokee Six,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOY
310G0110,1962,1962.06.07,(N2910R),Cessna 310G,Cessna Aircraft Company,"Wichita, KS, USA",OY-TRA
17249339,1962,1962.06.16,(N1639Y),Cessna 172C Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-TRB
17249599,1962,1962.11.06,(N2099Y),Cessna 172D Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-TRC
15059790,1962,1963.04.09,(N1970Z),Cessna 150C,Cessna Aircraft Company,"Wichita, KS, USA",OY-TRD
17249987,1962,1962.,(N2387U),Cessna 172D Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-TRF
205-0217,1963,1963.03.12,(N8217Z),Cessna 210-5 (Cessna 205),Cessna Aircraft Company,"Wichita, KS, USA",OY-TRG
,1962,1969.05.22,SE-CIH,Jodel D.112,"Jodel, Avions","Ludvika, Sweden",OY-TRL
12136,1944,1969.04.24,OO-MCG 44-79668,Piper J-3C-65 Cub (L-4H),Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-TRP
F17200991,1973,1974.03.06,LN-BFD,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-TRR
1553,1970,1974.04.26,SE-CIZ,SOCATA MS.883 Rallye 115,SOCATA,"Tarbes, France",OY-TRS
21057822,1961,1974.04.26,SE-CYC (N9522X),Cessna 210A,Cessna Aircraft Company,"Wichita, KS, USA",OY-TRT
10953,1968,1974.06.12,SE-CIX,SOCATA MS.892A Rallye Commodore 150,SOCATA,"Tarbes, France",OY-TRU
12018,1972,1974.06.05,SE-FSS,SOCATA MS.894A Rallye Minerva 220,SOCATA,"Tarbes, France",OY-TRW
P20600621,1969,1974.05.29,D-EDEV OE-DEY N5721J,Cessna P206E Super Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-TRZ
19230,1967,2001.09.28,N925UP N891TW,Boeing 727-31C,Boeing Company,"Renton, WA, USA",OY-UPC
19229,1967,1996.01.04,N923UP N890TW,Boeing 727-31C,Boeing Company,"Renton, WA, USA",OY-UPM
19094,1966,1993.11.01,N945UP N422EX HK-2475 N7406U,Boeing 727-22CA,Boeing Company,"Renton, WA, USA",OY-UPT
500-0294,1976,2001.06.12,SE-DVB N924AS (N501LG) HL7226 N5294J,Cessna 500 Citation,Cessna Aircraft Company,"Wichita, KS, USA",OY-VIP(2)
,,2021.12.08,Cancelled,,,,OY-VKU
,,2021.12.08,Cancelled,,,,OY-VKW
899408,1989,1995.01.20,RA-01364 DOSAAF-20,Yakovlev Yak-52,Yakovlev,"Bacau, Romania",OY-YAK
28-7625122,1976,1990.12.20,N8523C,Piper PA-28-140 Cherokee Cruiser,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-CYF
17272201,,1989.12.01,N8443E,Cessna 172N Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-CYK
25-4760,1968,1990.06.19,G-BDCT CS-AIV,Piper PA-25-235 Pawnee C,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-CYP
