registration,type,manufacturer,year_built,serial,mtom,reg_date,category
LN-ALI,PA-34-200T,"Piper Aircraft, Inc.",1979,34-7970259,1999.00,28.09.1988,Fly
LN-ALK,F177RG,Reims Aviation S.A.,1976,F177-0149,1270.00,25.11.1977,Fly
LN-ALM,8KCAB,Bellanca Aircraft Company,1979,553-79,816.00,12.07.1990,Fly
LN-ALR,F177RG,Reims Aviation S.A.,1977,F177-0170,1270.00,08.06.1978,Fly
LN-ALT,PA-28-181,"Piper Aircraft, Inc.",1979,28-7990435,1157.00,20.06.1980,Fly
LN-ALU,F172P,Reims Aviation S.A.,1981,F172-2103,1089.00,01.07.1981,Fly
LN-AOA,Spitfire IX,Vickers-Armstrongs Ltd.,1943,6S-223772,3742.00,09.05.2016,Fly
LN-ARS,DynAero MCR-01,Dyn'Aéro,2004,286,490.00,05.03.2012,Fly
LN-ARX,B200GT,Textron Aviation Inc.,2023,BY-443,5670.00,29.04.2025,Fly
LN-ASA,F172 M,Textron Aviation Inc.,1974,F172-1107,1043.00,08.03.1974,Fly
LN-ASB,F172 M,Textron Aviation Inc.,1974,F172-1151,1043.00,25.07.1974,Fly
LN-ASD,182P,Textron Aviation Inc.,1974,182-63104,1338.00,11.09.1974,Fly
LN-ASE,Glasair III,Stoddard-Hamilton Aircraft Inc.,2004,3100,1089.00,04.04.2022,Fly
LN-ASF,F172 M,Textron Aviation Inc.,1974,F172-1083,1043.00,11.09.1974,Fly
LN-ASH,F172 M,Textron Aviation Inc.,1974,F172-1240,1043.00,26.05.1975,Fly
LN-ASO,180B,Textron Aviation Inc.,1959,180-50534,1202.00,17.04.1975,Fly
LN-ASP,F172 M,Textron Aviation Inc.,1976,F172-1466,1043.00,27.07.1976,Fly
LN-ASR,U206F,Textron Aviation Inc.,1976,U206-03141,1633.00,23.07.1976,Fly
LN-ASW,A185F,Textron Aviation Inc.,1979,185-03906,1520.00,18.12.1987,Fly
LN-ASY,F172N,Reims Aviation S.A.,1977,F172-1591,1089.00,06.05.1977,Fly
LN-ATF,LONG-EZ,"Fjeld, Anders Torstein",1989,1567,602.00,24.07.1991,Fly
LN-ATU,182P,Textron Aviation Inc.,1973,182-61436,1338.00,25.01.2010,Fly
LN-AUD,Lancair 320,Leif Furuheim,2002,485-320-227,807.00,17.12.2002,Fly
LN-AVA,B200,Textron Aviation Inc.,1981,BB-909,5670.00,10.03.2022,Fly
LN-AWB,Learjet 45,Learjet Inc.,2002,45-219,9752.00,03.08.2018,Fly
LN-AZA,172S,Textron Aviation Inc.,2018,172S12182,1157.00,23.10.2018,Fly
LN-AZB,172S,Textron Aviation Inc.,2018,172S12187,1157.00,23.10.2018,Fly
LN-AZC,172S,Textron Aviation Inc.,2018,172S12212,1157.00,08.07.2019,Fly
LN-AZD,172S,Textron Aviation Inc.,2019,172S12216,1157.00,08.07.2019,Fly
LN-AZE,172S,Textron Aviation Inc.,2019,172S12244,1157.00,12.06.2019,Fly
LN-AZF,172S,Textron Aviation Inc.,2019,172S12245,1157.00,11.06.2019,Fly
LN-BAK,F172 M,Cessna Aircraft Company,1976,F17201426,1043.00,17.04.2024,Fly
LN-BBL,PA-20-135,"Piper Aircraft, Inc.",1954,20-1078,884.00,12.11.2021,Fly
LN-BBS,8GCBC,Bellanca Aircraft Corporation,1976,228-76,975.00,16.11.2020,Fly
LN-BBU,PA-28-140,"Piper Aircraft, Inc.",1965,28-21094,975.00,14.11.1997,Fly
LN-BDE,FA200-160,Fuji Heavy Industries Ltd.,1973,FA-200-220,1060.00,03.07.2013,Fly
LN-BDL,172P,Textron Aviation Inc.,1980,172-74491,1089.00,02.11.1990,Fly
LN-BDM,DH-82A,DeHavilland Aircraft Co. LTD,1941,DE-248,828.00,15.11.1977,Fly
LN-BDO,170B,Textron Aviation Inc.,1956,170-27048,998.00,01.08.1973,Fly
LN-BDZ,PA-28-140,"Piper Aircraft, Inc.",1969,28-25644,975.00,12.10.1970,Fly
LN-BEC,172B,Textron Aviation Inc.,1961,172-48398,998.00,08.07.2005,Fly
LN-BED,M-5-180C,"Maule Aerospace Technology, Inc.",1985,8061C,1043.00,15.03.1989,Fly
LN-BEH,F150L,Textron Aviation Inc.,1971,F150-0707,726.00,18.06.1971,Fly
LN-BEL,150F,Textron Aviation Inc.,1965,61903,726.00,18.10.2007,Fly
LN-BEM,525C,Textron Aviation Inc.,2018,525C0269,7760.00,14.11.2022,Fly
LN-BER,Carbon Cub,CubCrafters,2015,CCK 1865-0063,846.00,12.02.2015,Fly
LN-BET,PA-32-260,"Piper Aircraft, Inc.",1971,32-7100016,1542.00,05.07.1971,Fly
LN-BFD,PA-18-150,"Piper Aircraft, Inc.",1961,18-7663,794.00,23.06.1975,Fly
LN-BFK,PA-28-140,"Piper Aircraft, Inc.",1973,28-7325139,975.00,06.07.1973,Fly
LN-BFS,Auster V,Taylorcraft Aeroplanes (England) Limited,1945,1788,839.00,26.08.1999,Fly
LN-BFT,L-4J,"Piper Aircraft, Inc.",1944,12641,531.00,14.03.1967,Fly
LN-BFV,Auster V J.1,Auster Aircraft Ltd.,1946,2005,839.00,07.06.1994,Fly
LN-BGA,PA-28-180,"Piper Aircraft, Inc.",1973,28-7305525,1112.00,18.09.1973,Fly
LN-BGB,U206F,Cessna Aircraft Company,1972,U206-01757,1633.00,07.08.1972,Fly
LN-BGG,172K,Textron Aviation Inc.,1969,172-58781,1043.00,15.08.1973,Fly
LN-BGH,172K,Textron Aviation Inc.,1969,172-57409,1043.00,21.09.1973,Fly
LN-BGK,Acro Sport I,"Lundstrøm, Håvard",2008,001,612.00,17.10.1996,Fly
