registration,type,construction_no,year_mfr,year_reg,icao,notes
OY-PRV,Ted Smith Aerostar 601P,61P-0465-183,1977,1977-1981,AEST,"N9822Q, OY-PRV, N41GA, crashed 20.8.1995 Rock Hill, SC"
OY-POG,Piper PA-23-250  Aztec C,27-3273,1966,1976-1985,PA27,"LN-KAB, OY-POG, (G-BLPJ), G-BPOG, N6DA"
OY-DVN,Rockwell Commander 112TC,13090,1976,2003-2004,AC11,"N4585W, D-EIXN, OY-DVN (2), G-OVIN"
OY-CBG,Piper PA-28R-200 Cherokee Arrow II,28R-7435289,1974,1979-1982,P28R,"N43700, OO-HJN, SE-GID, OY-CBG, 
G-BJXW, G-LEEM, failed to gain height after take off and crashed in a house 14.5.1991 Newtownards"
OY-BEC (2),Cessna 421C Golden Eagle II,421C0218,1976,1981-1983,C421,"(N5471G), SE-GZI, OY-BEC, G-OSAL, G-HIJK, G-OSAL, G-HIJK"
OY-BDO,Piper PA-31P-425 Pressurized Navajo,31P-27,1970,1970-1994,PA31,"N6822L, (D-IBBO), OY-BDO, N580WE, broken up 1998"
OY-CPD,Beech A36 Bonanza,E-990,1977,1987-2005,BE36,"N17606, OY-CPD, D-EJAA(2)"
OY-CDP,SOCATA TB-9 Tampico,1868,2000,2000,TAMP,"(5N-CBP), F-GSZL, OY-CDP"
OY-EGY,Cessna 182K Skylane,18258256,1967,1967-1980,C182,"(N2556R), OY-EGY, damaged 13.1.1980 Sønderborg, (tail fin used for D-EETX)"
OY-APM (1),Hawker Siddeley H.S.125-400B,25253,1972,1972-1985,H25A,"G-5-18, OY-APM, G-BROD, N731HS, N3338, N50EB, N50FC, N610HC, XA-SKE, N253MT, N911RD"
OY-ARB,Aerospatiale SN.601 Corvette,34,1977,"1978-1978 
1982-1983",S601,"F-WNGS, F-BYCR, OY-ARB, SE-DEE, OY-ARB, SE-DEE, F-GKGD, CN-TCS, 5R-MHK, wfu 2005 Toulouse-Blagnac  
(LFBO)"
OY-SRK,Boeing 767-204/204ER,"23072
107",1985,2005,B762,"N6067E, G-BLKV, (conv. -204ER),  ZK-NBI, EC-GOJ,  N10698, TF-ATY, N307MT, OY-SRK Star Air"
OY-SRI,Boeing 767-25E(F),"27193
527",1994,2005,B762,"B-16622, N622EV, (conv. -25E(F)), OY-SRI Star Air"
OY-NIF,Aero Designs Pulsar XP,0591-220,1998,2003,PULS,
OY-VSG,Hummel Bird,SR-3109P-06/1995,1998,2004,HUML,
OY-BNK,Cessna U206G  Stationair 6,U20604822,1979,(1979),C206,"N734CN, (OY-BNK), N1659C, D-ELML, HB-CGW"
OY-DOZ,KZ III/KZ IIIU-4,42,1944,1945,KZ3,
OY-DEE,KZ IIIU-2/U-4,92,1946,1946-1975,KZ3,Crashed 6.8.1970 Vorbasse
OY-DSI,KZ IIIU-2/U-5,64,1946,"1946-1958 
1972",KZ3,"OY-DSI, D-EDEP, OY-DSI"
OY-AUC,Piper PA-34-200T  Seneca II,34-7870278,1978,1979-1982,PA34,"N31940, 5Y-BCW, OY-AUC, LN-LMK, crashed 22.09.1998 Bardufoss, cancelled 2005"
OY-XKJ(1),Grob G-102 Astir CS,1115,1976,1980-1981,,"D-4175, OY-XKJ, LN-GHX, damaged   in landing 31.5.1992 Starmoen, cancelled 2005"
OY-AEF,Cessna 150,17257,1959,1959-1959,C150,"N5757E, OY-AEF, SE-CNN, LN-FAF, destroyed in storm Brønnøysund 7.1985, CofA expired 1985. On display at Norsk Luftfartsmuseum, Bodø"
OY-AFZ,Dornier Do 27Q-5,2042,1959,1962-1974,DO27,"D-EKOC, OY-AFZ, LN-BDD, (TF-FHK), LN-BDD, crashed 10.6.1985 Meløy. Cancelled 2005"
OY-DCD,Reims Cessna F.172E Skyhawk,"F1720036/
50691",1963,1964-1968,C172,"OY-DCD, LN-AEJ destroyed in storm Namsos 24.1.1987. Cancelled 2005"
OY-BDM,Nord 262A-21,34,1967,"1970-1971 
1974-1975
1981-1985",N262,"F-WNBD, F-BNBD, I-SARP, OY-BDM Cimber Air, (D-CAMY), D-CIMA, OY-BDM, N488A, OY-BDM, N106TA, stored Berlin-Tempelhof 1997. Withdrawn from use 1990"
OY-SAJ,Sud SE-210  Caravelle 6R,104,1961,1972-1977,S210,"N1019U, OY-SAJ Sterling Airways ""City of Oslo"", Kastrup 1.1977. Broken up 8.1977. Cockpit on display at Egeskov 1986"
OY-GAF,Grumman-American AA-5B Tiger,AA5B-0053,1975,1975-1982,AA5,"OY-GAF, LN-MOZ crashed 7.5.2001 Høyegga 20 km south of Alvdal"
OY-LJA,Learjet 35A,35A-594,1984,1999-2001,LJ35,"N72596, N1088C, N7007V, OY-LJA Execujet Scandinavia, N410BD, N747BW"
OY-AJI,Piper PA-34-200  Seneca,34-7250312,1972,1977-2005,PA34,"N1413T, SE-FND, OY-AJI, OK-LFC"
OY-MBW,Boeing 737-2L9,"22734
818",1981,1981-1989,B732,"OY-MBW Maersk Air, VR-HYM, N171PL, N271FL, 5N-BFN, crashed 22.10.2005 after taking off from Murtala Muhammad International airport, Lagos, Nigeria
http://nm.onlinenigeria.com/templates/?a=5729&z=17"
OY-SBH,Boeing 727-2B7,"22164
1743",1981,1986-1994,B722,"N772AL, OY-SBH Sterling Airways, N907PG, OB-1590, N907PG, XA-TMA, CP-2427, N907PG, expired 2005, written off."
OY-SAS,Boeing 727-2J4/-200RE,"20765
984",1973,"1973-1984 
1985-1985
1986-1987 
1988-1989",B722,"OY-SAS Sterling Airways, N728BE, OY-SAS, N728BE, N222FE, OY-SAS, N727VA, OY-SAS, CS-TKA, N288SC, stored Tuscon 2004, cancelled 2008, broken up."
OY-DVM,Dornier Do 28D-1 Skyservant,4012,1968,1968-1968,D28D,"(D-IBYX), D-ICAB, OY-DVM, SE-EDT, ET-AEN, extensively damaged in accident 16.1.1975 Dolo. Wreck at Addis Ababa 01.1988"
OY-XEV,Schempp-Hirth HS-1  SHK 1,4,1965,1969-1993,,"D-6265, OY-XEV, competition number 07, D-8804, N8804W"
OY-XRL,Schempp-Hirth HS-6 Janus C,199,1984,1989-2004,,"N911RR, OY-XRL, competition number R2, F-CHPT/RL"
OY-XHZ (2),Schempp-Hirth Duo Discus T,40/315,2002,2002,DUOD,"D-KOAV, OY-XHZ competition number V4"
OY-XUV,Schempp-Hirth Discus CS,210CS,1996,1996-2001,,"OY-XUV competition number R6, F-CHHS"
OY-XXI,Schempp-Hirth Discus CS,071CS,1992,1998-2003,,"D-3934, OY-XXI, competition number B2, D-5070"
OY-DHB,Maule M-4-220C Strata-Rocket,2074C,1971,1971-1973,M4,"OY-DHB, D-EJHB. Destroyed in hangar fire 5.5.1979  Langenselbold"
OY-BTC,Piper PA-32R-300 Cherokee Lance,32R-7780153,1977,1977-1990,P32R,"OY-BTC, D-EJUP (2), FLARF-02951"
OY-AVY,Taylorcraft Auster Mk.V,1400,1944,1979,AUS5,"TJ352, G-AJYH, PH-NAD, PH-NEG(3), D-EJON(2), OY-AVY"
OY-CJF,Extra EA-300,017,1990,1990-1996,E300,"D-EJAB (4), OY-CJF, crashed 11.6.1994 Pøl"
OY-DGN,Cessna 172B Skyhawk,17248701,1961,1967-1990,C172,"N8201X, OH-CSR, SE-EHB, OY-DGN, 
broken up Beldringe 1990"
OY-BOP,Thunder AX-7/77A,112,1977,1977-1992,,"""BP"". Scrapped"
OY-BOM,Cameron O-105,4156,1997,1998,,Carlsberg
OY-BOM,Cameron N-77,1213,1986,1986-1995,,"Tuborg Bryggerier A/S, Ballon perished"
OY-LOT,Lindstrand LBL 310A,911,2003,2003,,Ballongäventyr i Skäne AB Filial SE
OY-COJ,Lindstrand LBL 21A Cloudhopper,083,1994,1994,,"""Romeo"""
OY-COR,Lindstrand LBL 21A Cloudhopper,080,1994,1994-2012,,"OY-COR Scandinavian Publishing Group ""Julie"", SE-"
OY-DFC,SOCATA MS.880B Rallye Club,1148,1967,1968-1985,RALL,"Broken up Haderslev. ""Restored"" with parts from OY-TOK. On display at Djurs Sommerland"
OY-BEE,Piper PA-31T-620 Cheyenne II,31T-8120010,1981,1982-1983,PAY2,"N2387X, ZS-KTG, OY-BEE Beech Business Factoring A/S, Forsikringsselskabet Codan A/S, N38789, TU-TLW, N16KW, (D-IKIW), PT-OPC"
OY-AHV,Cessna 177 Cardinal,17701164,1968,1968-1974,C177,"N30269, OY-AHV Danfoss Aviation Division A/S, D-EAHU, crashed 31.5.1981 Marl"
OY-BVH,Fokker F.27  Friendship 600,10200,1962,1988-2003,F27,"PH-FDO, (LV-PMP), LV-PTO, PH-FDO, D-BAKE, HB-AAU, 7P-LAJ, PH-KFC, A2-ADG, OY-BVH.  Broken up Roskilde, Fire & Rescue Kastrup 1998"
OY-BHR,Cessna 337D Super Skymaster,33701088,1969,1986-1997,C337,"N86127, G-AXGJ, G-ORAV, OY-BHR, compulsory cancellation"
OY-TDI,Diamond DA40 TDI Diamond Star,D4.010,2003,2003-2005,DA40,"OE-VPW, OY-TDI, D-EROE"
OY-CEU,Piper PA-34-220T  Seneca III,3433155,1989,1989-1990,PA34,"OY-CEU, G-BSOY, EC-IYY"
OY-BIZ,Learjet 24D,24D-281,1973,1976-1978,LJ24,"SE-DFB, OY-BIZ Business Jet Flight Center, N23MJ, N281FP. On display at Wings Museum, Dallas 2005, Frontiers of Flight Museum 2005"
OY-EGI,Reims Cessna F.150G,F1500079,1966,1966-1968,C150,"OY-EGI, LN-AEF, SE-LAB, Klippans Kommun Gymnasieskolan 2000, Mekanikerskolen Ljungbyhed"
OY-,Beech 1900D Airliner,UE-275,1997,(1997),B190,"N11189, SE-LCX, (OY-), SE-LCX, N905CG, YV2762"
OY-LBA,Diamond DA40-180 Diamond Star,40.069,2002,2002-2002,DA40,"OY-LBA, SE-LOY"
OY-SBN,Boeing 727-2B7,"22163
1735",1981,1987-1998,B722,"N771AL, OY-SBN Sterling Airways, N923PG, XA-TLZ, N923PG, expired 2005, stored"
OY-APY,Boeing 720-051B,"18421
244",1961,"1973-1979 
1981-1987",B720,"N728US, OY-APY Maersk Air, G-BHGE, OY-APY Conair, landing gear broke, belly landed and damaged by fire 6.4.1987 Rome-Ciampino, Italy. TF-AYC. KC-135 parts Tuscon, Davis-Monthan 1.7.1987"
OY-USD,Boeing 757-24APF,"25465
579",1993,2002-2005,B752,"N434UP, OY-USD Star Air (UPS), N434UP"
OY-HLR,Eurocopter EC120 B Colibri,1313,2002,2005,EC20,"F-WQDU, F-WQRO, ZA-AER, OY-HLR HighSurf A/S"
OY-CDT,SOCATA TB-20 Trinidad,2089,2001,2002,TB20,"F-OIUD, OY-CDT"
OY-BEW,Cessna 414,414-0934,1977,1980-1989,C414,"N4754G, TS-DKM, OY-BEW, PH-UWH, N747SD, 9G-"
OY-VAF,Cessna TR182 Turbo Skylane RG,R18201458,1980,1995,C82R,"N4819S, N4919S, OY-VAF"
OY-CMD,Druine D.31 Turbulent,326,1974,(1974),D31,
OY-CJO,Polliwagen 320,8501-1753N,1997,1997-1999,POLI,"OY-8501, OY-CJO. Crashed 27.4.1998 Knudshoved Odde - Karrebæksminde"
OY-BUV,Reims Cessna F.172N Skyhawk,F17201536,1976,1977,C172,Damaged in a collision with a pylon 14.5.2005 Billund
OY-ECA,Helio H-395A Super Courier,515,1959,1972-1980,COUR,"SE-COA, OY-ECA, damaged 27.1.1976 Bjergby, N44298, cancelled 2013"
OY-PEZ,Reims Cessna F.406  Caravan II,F4060048,1991,"(2000)
2000-2000",F406,"F-WZDX, (PH-ALR), N6589C, HP-1236, 5Y-MIM, S9-IHD, (OY-PEZ), D-ILIB, OY-PEZ, G-FLYN, V5-WAK"
OY-PCF,Piper PA-32-300B Cherokee Six,32-40755,1969,1995-2001,PA32,"OH-PCF, OY-PCF, N257SA"
OY-TOZ,Piper PA-28-151  Warrior,28-7515419,1975,1975-2004,P28A,"OY-TOZ, EC-JEK"
OY-RLN,Piper PA-28-181  Archer II,28-7990518,1979,1996-2001,P28A,"N2877D, G-BTKY, OY-RLN Air Alpha, EC-HXQ"
OY-DIC,Airco D.H.9,3259,1919,1930-1931,,"H9246, T-DOGH, OY-DIC D.D.L, crashed 18.8.1930 Siverslet"
OY-HOP,Robinson R44 Clipper II,10645,2005,2005,R44,"Dansk Radio Teknik A/S, Vejle"
OY-XVR,Scheibe SF-25C Falke,44703,2004,2004,SF25,Flyvestation Skrydstrup Svæveflyveklub
OY-KIS,Yakovlev Yak-52,867304,1986,2004,YK52,"01 gul, ES-FYI, SE-LCS, OY-KIS, damaged 1.5.2004 Eslöv, Sweden"
OY-CBP,Beech 200 Super King Air,BB-235,1977,1978,BE20,"N9BK, (N777MW), OY-CBP Aviation Assistance, Scan CBP K/S, Muninn Aviation ApS, Aviation Lease & Finance A/S"
OY-BDY,Piper PA-28-140 Cherokee E,28-7225343,1972,1972-1996,P28A,"Damaged 12.6.1996 Meråker, Norway. Skedsmo school, Lillestrøm."
OY-SUA,Mooney M.20K  Mooney 231,25-0875,1985,"1985-1994
1996-2005",M20T,"N5809Y, OY-SUA, SE-KZU, OY-SUA, LN-ACR"
OY-CHP,Diamond DA40D Diamond Star,D4.102,2004,2004,DA40,"OE-VPU, OY-CHP"
OY-FLV,de Havilland DHC-1 Chipmunk Mk.22,C1/0878,1953,"2003-2008
2008",DHC1,"12-143, P-143, OY-FLV Fonden Danmarks Flymuseum"
OY-LFX,Grob G-103 Twin II,3511,1980,1996,G103,"D-3064, OY-LFX, competition number LF. Damaged 26.6.2011 500 m from Maribo (EKMB)"
OY-ACX,Schneider Grunau  Baby II a,am.,1950,"1957-1979 
1984-1997",,"OY-122, OY-ACX, crashed. Compulsory cancellation"
OY-JMC,Cessna 525 CitationJet,525-0277,1998,1999-2016,C525,"N277CJ, OY-JMC Air Alsie, K/S Himmark Air, Linak A/S, 9A-JIM"
OY-ZRF,Stoddard-Hamilton GS1 Glastar,5099,1999,(2004),,"C-FZRV, (OY-ZRF), SE-XYY"
OY-DTI,de Havilland DH.87B  Hornet Moth,8086,1938,(1946),DH87,"G-ADMO, AV969, G-ADMO, (OY-DTI), G-ADMO, CR-LCE, G-ADMO, VP-FAE, destroyed by fire 1957"
OY-BOJ,Colt AS-105,632,1985,1985-1989,,"OY-BOJ ""OK Olieselskabet Danmark"", ""Danmark"", G-BTFR. Withdrawn from use 1997"
OY-RAS,Piper PA-34-220T  Seneca III,34-8233058,1982,2001-2005,PA34,"N8042M, YU-BPI, SL-CAA, S5-CAA, I-CGAJ, OY-RAS, D-GMFA"
OY-TPC,Cessna 208B Grand Caravan,208B0805,2000,2002-2005,C208,"N52682, N87258, D-FPUL, OY-TPC Tele Greenland, D-FPUL, TT-BER"
OY-XNV,Rolladen-Schneider LS 4,4470,1985,1985,,"(D-5172), OY-XNV, competition number V8"
OY-GOE,Lindstrand LBL 60A,210,1995,1996,,"G-BWDK, OY-GOE ""SPIES"""
OY-COV,Lindstrand LBL 60A,638,1999,2000,,"""Simone"""
OY-COS,Sky 77-24,037,1996,1996,,"""Dania"""
OY-COG,Cameron V-77,3232,1994,1994-2009,,CofA expired 2003
OY-COD,Cameron N-77,2320,1990,1990,,"""Den Danske Bank"", ""Støvring Lavpris / City Centret Støvring / Støvring køreskole"""
OY-BOZ,Cameron,,,(1979),,Ikke importeret
OY-BOS,Colt 56A,009,1978,1979-1996,,"""Karoline"", scrapped, Egeskov Veteranmuseum"
OY-BOK,Thunder AX-8-90,442,1983,1983-1992,,"""BP"". Scrapped"
OY-BOD,Piccard AX-6,,,(1974),,Reserveret
OY-BOB,Omega O-84,01,1968,1969-1985,,"G-AWMO, OY-BOB, ""Blue Strike"", ""Kosangas"", CofA expired 1981. Stored at British Balloon Museum & Library collection"
OY-XTG,Grob G-103C Twin III Acro,34180,1993,1993,,Competition number TG
OY-XDZ,Grob G-102 Astir CS,1362,1976,"1977-1989
1992-1995",,"Competition number F9, K3, damaged 15.7.1977 Kongsted, damaged 26.7.1989 Nibe, competition number DZ, crashed 1.7.1995 Gesten"
OY-RGT,VFW 614,G18,1977,(1999),VF14,"D-BABR, 17+02, D-AXDB, (OY-RGT) Muk Air, D-AXDB, Aeronauticum - Deutsches Marine Luftschiff- und Marinefliegermuseum, Nordholz 2003"
OY-AYI,American AA-1 Yankee/AA-1A,AA1-0449,1970,"1973-1974 
1975-2003",AA1,"(N6249L), OY-AYI, SE-FTL (mod. to AA-1A), OY-AYI.  
During landing on EKSN 26.8.1991 the aircraft tipped  on its back. CofA expired"
OY-XAN,SZD-12A Mucha 100A,494,1959,1961-1995,,"OY-XAN, EI-100, Preserved Cavan+Leitrim Railway Dromod"
OY-VXR,Glasflügel H-201B Standard Libelle,529,1974,1974-1974,,"OY-VXR, D-7142"
OY-VXI,Schempp-Hirth HS-2 Cirrus,106,1971,1973-2003,,"D-0788, OY-VXI,  competition number TT, crashed 17.8.2003 Sjælland. Wreck sold to Belgium"
OY-CNO,McDonnell-Douglas DC-10-30,"46990
260",1978,1997-1999,DC10,"9V-SDA, C-GFHX, F-GGMZ, XA-SYE, OY-CNO Premiair, G-BYDA, broken up 2005 Kemble"
OY-BEL,Beech 65-F90 King Air,LA-129,1981,1981-1989,BE9T,"OY-BEL, F-GKKK, 3A-MON, N605EA"
OY-CHF,Dornier Do 228-200,8010,1983,1993-1997,D228,"D-IHDO, SX-BHA, 9M-DMF, 9M-AXF, SE-KTO, OY-CHF Ikaros Fly, SE-KTO, 9N-AEO Gorkha Airlines. Landing accident 30.6.2005 Lukla"
OY-PCX,Rolladen-Schneider LS 4-b,4925,1993,2003-2011,,"D-4156, OY-PCX, competition number PC, D-"
OY-TLE,Cessna 172RG  Cutlass RG II,172RG0254,1980,2005,C72R,"N5138U, LN-NFA, SE-KPK, OY-TLE"
OY-102,Rehberg/Schneider/Hofmann S.G.38,,1946,1947-1955,,"OY-102, solgt til Norge 1955 i beskadiget tilstand. Ikke genopbygget."
OY-AOR,Piper PA-22-108 Colt,22-9119,1961,1962-1968,PA22,"(SE-CRH), OY-AOR, wreck sold in   Norway. Breokn up 1979 Hamar."
OY-DRY,Piper PA-18-95  Super Cub,18-1984,1952,1971-1980,PA18,"52-2384, MM522384, I-EICE, EI-63, D-EDPA, OY-DRY. Rebuilt with parts from 18-3113, D-ENKC. LN-HHQ (18-1984), SE-LDZ"
OY-AFL,Piper PA-18A-150 Super Cub,18-6605,1958,1961-1977,PA18,"N9298D, OY-AFL, crashed 3.7.1976 Ørbæk."
OY-GAG,Grumman-American AA-5 Traveler,AA5-0763,1975,1975-1982,AA5,Crashed 16.5.1982 Roslev. Wreck to Norway 1983
OY-DCF,Reims Cessna F.172F Skyhawk,F1720049,1964,1964-1973,C172,Crashed 26.12.1972 Anholt. Wreck sold to Norway
OY-AHZ,Reims Cessna F.172H Skyhawk,F1720509,1968,1968-1975,C172,Crashed 15.1.1974 Roskilde. Wrech sold to Norway. Rakkestad 1991
OY-CRC,Cessna 177RG  Cardinal RG,177RG0700,1975,1987-2009,C77R,"N1524H, OY-CRC ""Rudolph"", damaged 5.8.2009 Roskilde EKRK.
Instructional airframe at TEC Transport og Logistik school at Avedøre"
OY-FDX,Akaflieg München Mü 13E Bergfalke I,1,1954,1968-1977,,"D-8030, OY-FDX, LDB deponeret 1972. Slettet 1977. Kasseret."
OY-FCX,Schleicher Ka 4 Rhönlerche II,207,1956,1968-1984,,"D-5498, OY-FCX ""Øltønden"", CofA expired 1980. Cancelled 1984"
OY-EJX,Schleicher Ka 6CR Rhönsegler,6556,1966,1966-1989,,Competition number N6. Destroyed by fire 6.3.1989 Gørløse
OY-DXS,Scheibe L-Spatz 55,668,1959,1968-1995,,"D-4701, OY-DXS, competition number S2, SE- (1992)"
OY-BBX,Schneider Grunau  Baby II a,am.,1945,1957-1977,,"OY-76, OY-BBX, scrapped 1972"
OY-BBK,Piper PA-28-140 Cherokee,28-21064,1965,1965-2005,P28A,"(N11C), N6889W, OY-BBK, LN-AAH"
OY-BIW,Cessna 310R,310R0083,1975,1975-1987,C310,"(SE-GKA), OY-BIW, LN-HPT, N103EM"
OY-BEU,Beech 76 Duchess,ME-399,1981,1981-1985,BE76,"N3834P, OY-BEU, crashed 16.9.1983 Maribo, broken up Aalborg 1985"
OY-BDC,Piper PA-28R-200 Cherokee Arrow,28R-35313,1969,"1969-1993
1996",P28R,"OY-BDC, SX-???, OY-BDC Training Center West"
OY-CSN,Piper PA-28-161  Warrior II,28-8216070,1981,1988-1989,P28A,"N8471N, OY-CSN, G-HMES, cancelled temporarily 2004"
OY-XLY,Schleicher ASK 21,21094,1982,"1982-1989
1996-2010",,"(D-7760), OY-XLY, competition number LY, damaged in hangar fire 6.3.1989 Gørløse. Rebuilt with new fuselage 1996. Withdrawn from use."
OY-TOK,Piper PA-28-151  Warrior,28-7515087,1974,1975-1985,P28A,"Crashed after engine failure 12.11.1984 Jægerspris. ""Rebuilt"" with parts from OY-DFC. On display at Djurs Sommerland"
OY-DVI,KZ IIIU-2,75,1946,"1946-1958 
1959",KZ3,"OY-DVI, D-ECOT, OY-DVI. Rebuild using fuselage from OY-DHA c/n 48. Fuselage c/n 75 used for restauration of OY-ANY"
OY-ANY,KZ IIIU,52,1946,,KZ3,"SE-ASH, (OY-ANY). Ombygget med fuselagen fra OY-DVI c/n 75. Fuselagen fra OY-ANY c/n 52 deponeret"
OY-DFP,Piper PA-28-140 Cherokee B,28-25422,1969,1970-2005,P28A,"LN-BNX, OY-DFP, G-EEKY"
OY-CCM,Fokker F.27  Friendship 600,10432,1970,1989-1989,F27,"PH-FPG, CN-CDA, PK-GFO, OY-CCM Alkair, C-FGDS, F-ZBFF Securité Civile 71, F-WQVF, stored Bergamo, Italy"
OY-UPB,Boeing 727-180C/-100QF,"19874
534",1968,"1996-1996
1997-2000
2001-2002",B721,"N9515T, N921UP, OY-UPB, N921UP, OY-UPB Star Air, N921UP, OY-UPB, N921UP, cancelled 2006"
OY-SUC,Cessna 207A Stationair 8 II,20700781,1984,1984-2005,C207,"N9999M, (N1324Q), OY-SUC Billund Rundflyvning, TF-ORB"
OY-CUA,Lancair 320i,01289-408,1994,1997,LNC2,"OY-8902, OY-CUA"
OY-BNP,Rutan Cozy Mk.3,0688,,,COZY,"OY-8806, OY-BNP"
OY-XKR,Scheibe SF-25A Motorfalke,4517,1965,1980-1996,SF25,"D-KAHU, OY-XKR, competition number KR, OY-8805"
OY-LAN,Lancair 320,472,,,LNC2,"OY-8904, OY-LAN"
OY-8702,Tipsy T.66 Nipper Mk. 1,H18,1959,,NIPR,"OO-NIE, D-EJOF, damaged in a collision with Bölkow Junior D-EKMO 27.8.1972. Rebuilt as OY-TRV, OY-8502, OY-8702, D-EJOF. On display at  Hannover-Laatzen Museum"
OY-TRV,Tipsy T.66 Nipper Mk. 1,H18,1959,1974-1994,NIPR,"OO-NIE, D-EJOF, damaged in a collision with Bölkow Junior D-EKMO 27.8.1972. Rebuilt as OY-TRV, OY-8502, OY-8702, D-EJOF. On display at Hannover-Laatzen Museum"
OY-CMY,Rand Robinson KR-1,0886,,(1990),KR1,"OY-8301, OY-8403, OY-8608, OY-CMY, SE- (2009)"
OY-XRT,Rutan 77-C Solitaire,8311-22S,,1994-1997,,"OY-8307, OY-83X11, OY-XRT, VH-"
OY-8203,Jurca MJ5-G2 Sirocco,8203-101,,1996,MJ5,"OY-8203, (OY-CGS), OY-OIV"
OY-OIV,Jurca MJ5-G2 Sirocco,8203-101,1997,1997,MJ5,"OY-8203, (OY-CGS), OY-OIV"
OY-8101,Sindinger 5/8 Hurricane,,,,,
OY-CJA,Viking Dragonfly,331,1996,1996-1998,DFLY,"OY-08204, (OY-BSJ), OY-8609, OY-CJA, damaged 20.9.1998 Beldringe, OY-0302"
OY-0002,Van's RV-8,,,,RV8,"OY-0002, OY-0203, OY-KEJ"
OY-0001,Van's RV-4,,,,RV4,
OY-VRV,Van's RV-4,9505-4017,2003,2003,RV4,
OY-RVI,Van's RV-6A,9412-23650,2003,2003,RV6,
OY-FRV,Van's RV-4,1720,1995,1995,RV4,"OY-8803, OY-FRV, damaged 16.4.1996 Roskilde"
OY-8803,Van's RV-4,1720,1995,1995,RV4,"OY-8803, OY-FRV"
OY-CMV,Van's RV-6A,0892-22347,1996,1996,RV6,"OY-0892, OY-CMV"
OY-0892,Van's RV-6A,,1996,1996,RV6,"OY-0892, OY-CMV"
OY-ANX,Rehberg/Schneider/Hofmann S.G.38,,1946,1957-1958,,"OY-101, OY-ANX, crashed 1.10.1957 Lammefjorden"
OY-AMX,Rehberg/Schneider/Hofmann S.G.38,,1946,1957-1966,,"OY-97, OY-AMX, broken up 1966"
OY-ALX,Rehberg/Schneider/Hofmann S.G.38,,1946,1957-1961,,"OY-106, OY-ALX, broken up 1961"
OY-AKX,Rehberg/Schneider/Hofmann S.G.38,,1946,1958-1961,,"OY-94, OY-AKX, Stauning 1985, Danmarks Flymuseum 2007"
OY-AGX,Rehberg/Schneider/Hofmann S.G.38,am.,1945,1957-1958,,"OY-79, OY-AGX, crashed 6.4.1958"
OY-77,Rehberg/Schneider/Hofmann S.G.38,,1945,1945-1947,,LDB deponeret 1947
OY-73,Rehberg/Schneider/Hofmann S.G.38,,1945,1945-1957,,
OY-72,Rehberg/Schneider/Hofmann S.G.38,,1945,1945-1946,,Crashed 3.6.1946 Kirstinesminde
OY-70,Rehberg/Schneider/Hofmann S.G.38,61405,1943,1945-1961,,"OY-70, OY-AXW, Teknisk museum, Helsingør"
OY-67,Rehberg/Schneider/Hofmann S.G.38,1,1944,1944-1945,,Crashed 1.8.1945 Bøtø
OY-64,Rehberg/Schneider/Hofmann S.G.38,,1941,1944-1950,,"GL-1, OY-64, LDB deponeret 1950"
OY-63,Rehberg/Schneider/Hofmann S.G.38,,1941,1944-1951,,"GL-3, OY-63, crashed 1.4.1950 Skinderholm"
OY-60,Rehberg/Schneider/Hofmann S.G.38,"(Naumburg, Saale)",1944,1944-1958,,"Sammenbygget af OY-27 og OY-60, OY-BFX"
OY-59,Rehberg/Schneider/Hofmann S.G.38,034692,1941,1944-1951,,"Luftwaffe, OY-59, crashed 29.4.1951 Herning"
OY-57,Rehberg/Schneider/Hofmann S.G.38,,1943,1943-1948,,"LDB deponeret  1948, brændt 18.6.1949 Lundtofte"
OY-33,Rehberg/Schneider/Hofmann S.G.38,,1940,1940-1947,,LDB deponeret 1947
OY-27,Rehberg/Schneider/Hofmann S.G.38,1613,1939,1940-1940,,Havareret 2.5.1940 Værløse. Hovedstel brugt til bygningen af OY-60
OY-115,Rehberg/Schneider/Hofmann S.G.38,,1950,1950-1958,,Destroyed by fire 23.6.58 Birkerød
OY-114,Rehberg/Schneider/Hofmann S.G.38,,1947,1948-1952,,LDB deponeret 1952
OY-108,Rehberg/Schneider/Hofmann S.G.38,,1946,1947-1949,,Crashed 1948 Falster
OY-107,Rehberg/Schneider/Hofmann S.G.38,1,1947,1948-1958,,Crashed 2.4.56 Gavnø
OY-106,Rehberg/Schneider/Hofmann S.G.38,,1946,1947-1957,,"OY-106, OY-ALX, broken up 1961"
OY-105,Rehberg/Schneider/Hofmann S.G.38,,1946,1947-1949,,"OY-105, (LN-GAL), LN-GGL, CofA expired 1963, cancelled 1968. On display at Flesland Airport, Bergen 1988"
OY-104,Rehberg/Schneider/Hofmann S.G.38,IR.9,1946,1947-1954,,"OY-104, LN-GAF, ødelagt i hangar, som faldt sammen p.gr.a. sne 1.1956 Ulven"
OY-101,Rehberg/Schneider/Hofmann S.G.38,,1946,1947-1957,,"OY-101, OY-ANX, crashed 1.10.1957 Lammefjorden"
OY-99,Rehberg/Schneider/Hofmann S.G.38,,1947,1947-1957,,Crashed
OY-97,Rehberg/Schneider/Hofmann S.G.38,,1946,1946-1957,,"OY-97, OY-AMX, broken up 1966"
